Completed,Difference,Fate,Hull_Number,Laid_Down,Launched,Name,Namesake,Shipyard,Type
1942-07-20,59.0,Scrapped 1971,549,1942-05-22,1942-07-07,Jesse Applegate,Jesse Applegate,Oregon Shipbuilding Corp,Cargo
1942-07-20,84.0,Scrapped 1958,222,1942-04-27,1942-07-03,William Hawkins,William Hawkins,North Carolina Shipbuilding Co,Cargo
1942-07-21,69.0,Scrapped 1961,89,1942-05-13,1942-06-29,Francis Parkman,Francis Parkman,California Shipbuilding Corp,Cargo
1942-07-21,211.0,"Reefed off Horn Island, Mississippi, 1976",123,1941-12-22,1942-05-16,Abraham Baldwin,Abraham Baldwin,Delta Shipbuilding Co,Cargo
1942-07-21,74.0,Scrapped 1971,49,1942-05-08,1942-07-04,Luther Martin,Luther Martin,Bethlehem-Fairfield Shipyards,Cargo
1942-07-22,204.0,"Mined off Bizerta 1943, repaired, scrapped 1964",266,1941-12-30,1942-06-12,William B Travis,William B. Travis,Todd Houston Shipbuilding Corp,Cargo
1942-07-22,98.0,Reefed off Freeport TX 1976,353,1942-04-15,1942-07-04,George Vancouver,George Vancouver,Kaiser Co,Cargo
1942-07-22,98.0,"Torpedoed in the South Atlantic 1943, repaired, scrapped 1963",253,1942-04-15,1942-07-04,James Smith,James Smith,Permanente Metals Co Yard,Cargo
1942-07-23,64.0,Scrapped 1959,292,1942-05-20,1942-06-30,Junipero Serra,Junípero Serra,California Shipbuilding Corp,Cargo
1942-07-23,173.0,Scrapped 1973,5,1942-01-31,1942-05-22,Alexander H Stephens,Alexander H. Stephens,Alabama Dry Dock Co,Cargo
1942-07-24,74.0,"Wrecked 1946, refloated, scrapped 1948",157,1942-05-11,1942-07-07,Hugh Williamson,Hugh Williamson,North Carolina Shipbuilding Co,Cargo
1942-07-24,72.0,"Bombed off Algeria 1943, repaired, scrapped 1966",50,1942-05-13,1942-07-04,William Wirt,William Wirt,Bethlehem-Fairfield Shipyards,Cargo
1942-07-25,57.0,Scrapped 1960,550,1942-05-29,1942-07-11,George Abernethy,George Abernethy,Oregon Shipbuilding Corp,Cargo
1942-07-25,70.0,Scrapped 1971,90,1942-05-16,1942-07-03,John Fiske,John F. Fiske,California Shipbuilding Corp,Cargo
1942-07-25,71.0,Scrapped 1967,51,1942-05-15,1942-07-10,Reverdy Johnson,Reverdy Johnson,Bethlehem-Fairfield Shipyards,Cargo
1942-07-27,65.0,Scrapped 1969,293,1942-05-23,1942-07-10,John A Sutter,John A. Sutter,California Shipbuilding Corp,Cargo
1942-07-27,57.0,Scrapped 1966,551,1942-05-31,1942-07-14,Joseph Lane,Joseph Lane,Oregon Shipbuilding Corp,Cargo
1942-07-28,307.0,Torpedoed and lost in the North Atlantic 1942,202,1941-09-24,1942-06-07,John Winthrop,John Winthrop,New England Shipbuilding Corp,Cargo
1942-07-28,70.0,Scrapped 1969,52,1942-05-19,1942-07-13,John H B Latrobe,John H. B. Latrobe,Bethlehem-Fairfield Shipyards,Cargo
1942-07-28,210.0,Scrapped 1963,267,1941-12-30,1942-06-19,Mirabeau B Lamar,Mirabeau B. Lamar,Todd Houston Shipbuilding Corp,Cargo
1942-07-28,92.0,Scrapped 1961,254,1942-04-27,1942-07-09,George Taylor,George Taylor,Permanente Metals Co Yard,Cargo
1942-07-29,72.0,Scrapped 1972,158,1942-05-18,1942-07-12,William R Davie,William R. Davie,North Carolina Shipbuilding Co,Cargo
1942-07-29,191.0,Scrapped 1963,124,1942-01-19,1942-05-30,Theodoric Bland,Theodorick Bland,Delta Shipbuilding Co,Cargo
1942-07-29,66.0,Scrapped 1961,53,1942-05-24,1942-07-15,Richard H Alvey,Richard H. Alvey,Bethlehem-Fairfield Shipyards,Cargo
1942-07-30,56.0,Torpedoed and lost in the Indian Ocean 1943,552,1942-06-04,1942-07-19,Harvey W Scott,Harvey W. Scott,Oregon Shipbuilding Corp,Cargo
1942-07-30,59.0,Scrapped 1961,305,1942-06-01,1942-07-22,John Walker,John Walker,Bethlehem-Fairfield Shipyards,Cargo
1942-07-31,53.0,"Torpedoed in the Irish Sea 1945, scuttled with obsolete ammo 1946",553,1942-06-08,1942-07-21,James W Nesmith,James W. Nesmith,Oregon Shipbuilding Corp,Cargo
1942-07-31,160.0,"Scuttled as a reef off Destin FL, 1977",6,1942-02-21,1942-05-31,Thomas Heyward,Thomas Heyward,Alabama Dry Dock Co,Cargo
1942-07-31,68.0,Scrapped 1972,54,1942-05-24,1942-07-25,John P Poe,John P. Poe,Bethlehem-Fairfield Shipyards,Cargo
1942-07-31,65.0,"Sold private 1947, converted to a floating wharf",294,1942-05-27,1942-07-12,Richard Henry Dana,"Richard Henry Dana, Jr.",California Shipbuilding Corp,Cargo
1942-08-03,73.0,Scrapped 1972,258,1942-05-22,1942-07-21,John Morton,John Morton,Permanente Metals Co Yard,Cargo
1942-08-04,62.0,Scrapped 1960,91,1942-06-03,1942-07-15,George Bancroft,George Bancroft,California Shipbuilding Corp,Cargo
1942-08-04,123.0,Scrapped 1969,101,1942-04-03,1942-07-03,Benjamin Bourne,Benjamin Bourne,Todd Houston Shipbuilding Corp,Cargo
1942-08-05,50.0,Scrapped 1961,554,1942-06-16,1942-07-24,John C Ainsworth,John C. Ainsworth,Oregon Shipbuilding Corp,Cargo
1942-08-05,74.0,Torpedoed and lost in the South Atlantic 1944,159,1942-05-23,1942-07-19,William Gaston,William Gaston,North Carolina Shipbuilding Co,Cargo
1942-08-06,60.0,Scrapped 1964,92,1942-06-07,1942-07-19,James Ford Rhodes,James Ford Rhodes,California Shipbuilding Corp,Cargo
1942-08-07,186.0,"Torpedoed 1943, sunk as a breakwater off Normandy 1944, abandoned",125,1942-02-02,1942-06-15,Benjamin Contee,Benjamin Contee,Delta Shipbuilding Co,Cargo
1942-08-07,90.0,Scrapped 1958,255,1942-05-09,1942-07-14,William Whipple,William Whipple,Permanente Metals Co Yard,Cargo
1942-08-08,63.0,Scrapped 1960,55,1942-06-06,1942-07-29,Bernard Carter,Bernard Carter,Bethlehem-Fairfield Shipyards,Cargo
1942-08-08,108.0,"Torpedoed and lost in the Gulf of Aden, 1943",354,1942-04-22,1942-07-19,Elias Howe,Elias Howe,Kaiser Co,Cargo
1942-08-10,62.0,Scrapped 1972,93,1942-06-09,1942-07-21,William H Prescott,William H. Prescott,California Shipbuilding Corp,Cargo
1942-08-10,61.0,Torpedoed and lost off Trinidad 1942,56,1942-06-10,1942-07-31,John Carter Rose,John Carter Rose,Bethlehem-Fairfield Shipyards,Cargo
1942-08-11,109.0,Scrapped 1960,102,1942-04-24,1942-07-11,Daniel Carroll,Daniel Carroll,Todd Houston Shipbuilding Corp,Cargo
1942-08-11,301.0,Sunk in the North Atlantic 1943,203,1941-10-14,1942-07-13,Thomas Hooker,Thomas Hooker,New England Shipbuilding Corp,Cargo
1942-08-11,52.0,Sold private 1966 and converted to crane barge,555,1942-06-20,1942-07-27,William P McArthur,William P. McArthur,Oregon Shipbuilding Corp,Cargo
1942-08-13,62.0,Scrapped 1961,94,1942-06-12,1942-07-24,Hinton R Helper,Hinton R. Helper,California Shipbuilding Corp,Cargo
1942-08-13,,Scrapped 1971,15,,1942-03-24,Charles Carroll,Charles Carroll,Bethlehem-Fairfield Shipyards,Cargo
1942-08-13,83.0,Scrapped 1970,257,1942-05-22,1942-07-24,Francis Lewis,Francis Lewis,Permanente Metals Co Yard,Cargo
1942-08-13,51.0,Scrapped 1971,556,1942-06-23,1942-07-31,Eugene Skinner,Eugene Skinner,Oregon Shipbuilding Corp,Cargo
1942-08-15,62.0,Scrapped 1967,295,1942-06-14,1942-07-26,William F Cody,William F. Cody,California Shipbuilding Corp,Cargo
1942-08-15,112.0,Scrapped 1961,7,1942-04-25,1942-07-01,Judah P Benjamin,Judah P. Benjamin,Alabama Dry Dock Co,Cargo
1942-08-15,75.0,Scrapped 1972,160,1942-06-01,1942-07-26,William A Graham,William A. Graham,North Carolina Shipbuilding Co,Cargo
1942-08-17,63.0,Scrapped 1962,57,1942-06-15,1942-08-06,Andrew Hamilton,Andrew Hamilton,Bethlehem-Fairfield Shipyards,Cargo
1942-08-17,51.0,Scrapped 1970,557,1942-06-27,1942-08-05,Daniel H Lownsdale,Daniel H. Lownsdale,Oregon Shipbuilding Corp,Cargo
1942-08-18,60.0,"To Alabama State Docks, scrapped",296,1942-06-19,1942-07-29,Robert F Stockton,Robert F. Stockton,California Shipbuilding Corp,Cargo
1942-08-18,59.0,Scrapped 1970,59,1942-06-20,1942-08-07,William Tilghman,William Tilghman,Bethlehem-Fairfield Shipyards,Cargo
1942-08-19,73.0,Scrapped 1971,259,1942-06-07,1942-07-30,George Read,George Read,Permanente Metals Co Yard,Cargo
1942-08-19,140.0,Scrapped 1970,126,1942-04-01,1942-07-15,George Gale,George Gale,Delta Shipbuilding Co,Cargo
1942-08-19,107.0,Scrapped 1963,103,1942-05-04,1942-07-25,Nicholas Gilman,Nicholas Gilman,Todd Houston Shipbuilding Corp,Cargo
1942-08-20,51.0,Scrapped 1961,558,1942-06-30,1942-08-07,Elijah White,Elijah White,Oregon Shipbuilding Corp,Cargo
1942-08-20,60.0,Torpedoed and lost off Sydney 1943,297,1942-06-21,1942-07-31,Starr King,Starr King,California Shipbuilding Corp,Cargo
1942-08-20,97.0,Scrapped 1967,483,1942-05-15,1942-07-14,Edward Rowland Sill,Edward Rowland Sill,Permanente Metals Co Yard,Cargo
1942-08-21,67.0,Scrapped 1973,58,1942-06-15,1942-08-10,Benjamin Chew,Benjamin Chew,Bethlehem-Fairfield Shipyards,Cargo
1942-08-21,74.0,"Torpedoed off Dutch Guiana 1943, declared total loss, scrapped",161,1942-06-08,1942-08-02,James K Polk,James K. Polk,North Carolina Shipbuilding Co,Cargo
1942-08-23,50.0,Scrapped 1962,559,1942-07-04,1942-08-11,Harry Lane,Harry Lane,Oregon Shipbuilding Corp,Cargo
1942-08-24,70.0,Scrapped 1961,260,1942-06-15,1942-08-03,Roger Sherman,Roger Sherman,Permanente Metals Co Yard,Cargo
1942-08-25,112.0,Scrapped 1961,8,1942-05-05,1942-07-12,Jefferson Davis,Jefferson Davis,Alabama Dry Dock Co,Cargo
1942-08-25,63.0,Scrapped 1967,298,1942-06-23,1942-08-04,Leland Stanford,Leland Stanford,California Shipbuilding Corp,Cargo
1942-08-25,62.0,"Torpedoed from the air and beached near Algiers 1944, repaired, scrapped 1964",60,1942-06-24,1942-08-15,Jared Ingersoll,Jared Ingersoll,Bethlehem-Fairfield Shipyards,Cargo
1942-08-26,50.0,"To U.S. Navy 1955 as YAG, scrapped 1971",560,1942-07-07,1942-08-14,George Chamberlain,George Earle Chamberlain,Oregon Shipbuilding Corp,Cargo
1942-08-26,100.0,Scrapped 1961,104,1942-05-18,1942-08-02,Samuel Griffin,Samuel Griffin,Todd Houston Shipbuilding Corp,Cargo
1942-08-26,96.0,Scrapped 1961,256,1942-05-22,1942-08-07,Oliver Wolcott,Oliver Wolcott,Permanente Metals Co Yard,Cargo
1942-08-27,61.0,Scrapped 1971,299,1942-06-27,1942-08-08,Francis Drake,Francis Drake,California Shipbuilding Corp,Cargo
1942-08-27,61.0,Torpedoed and lost in the Indian Ocean 1942,306,1942-06-27,1942-08-18,Pierce Butler,Pierce Butler,Bethlehem-Fairfield Shipyards,Cargo
1942-08-28,74.0,Scrapped 1963,162,1942-06-15,1942-08-16,Alexander Martin,Alexander Martin,North Carolina Shipbuilding Co,Cargo
1942-08-29,49.0,Scrapped 1969,561,1942-07-11,1942-08-17,Jonathan Harrington,Jonathan Harrington,Oregon Shipbuilding Corp,Cargo
1942-08-29,98.0,Scrapped 1970,484,1942-05-23,1942-07-22,Joaquin Miller,Joaquin Miller,Permanente Metals Co Yard,Cargo
1942-08-29,61.0,"Torpedoed near the Cook Islands 1943, repaired, to U.S. Navy as USS Peter H. Burnett (IX-104), scrapped 1959",300,1942-06-29,1942-08-10,Peter H Burnett,Peter H. Burnett,California Shipbuilding Corp,Cargo
1942-08-29,62.0,"Mined off Flushing 1945, salvaged, scrapped 1948",61,1942-06-28,1942-08-19,William Rawle,William Brooke Rawle,Bethlehem-Fairfield Shipyards,Cargo
1942-08-29,60.0,Scrapped 1971,262,1942-06-30,1942-08-12,Matthew Thornton,Matthew Thornton,Permanente Metals Co Yard,Cargo
1942-08-29,126.0,"Sold private 1947, scrapped 1968",127,1942-04-25,1942-07-30,William B Giles,William B. Giles,Delta Shipbuilding Co,Cargo
1942-08-30,61.0,Scrapped 1959,631,1942-06-30,1942-08-13,Ewing Young,Ewing Young,California Shipbuilding Corp,Cargo
1942-08-31,236.0,Scrapped 1960,204,1942-01-07,1942-08-16,Ethan Allen,Ethan Allen,New England Shipbuilding Corp,Cargo
1942-08-31,48.0,Scrapped 1960,562,1942-07-14,1942-08-20,William H Seward,William H. Seward,Oregon Shipbuilding Corp,Cargo
1942-08-31,101.0,Scrapped 1965,9,1942-05-22,1942-08-02,Thomas Lynch,Thomas Lynch,Alabama Dry Dock Co,Cargo
1942-08-31,57.0,"Sold private 1947, wrecked and scrapped 1958",62,1942-07-05,1942-08-25,Horace Binney,Horace Binney,Bethlehem-Fairfield Shipyards,Cargo
1942-08-31,71.0,"To Belgium as Belgian Loyalty 1945, scrapped 1972",261,1942-06-21,1942-08-17,Richard Stockton,Richard Stockton,Permanente Metals Co Yard,Cargo
1942-08-31,97.0,Converted to derrick barge 1966,105,1942-05-26,1942-08-12,Thomas Hartley,Thomas Hartley,Todd Houston Shipbuilding Corp,Cargo
1942-09-01,31.0,Scrapped 1971,567,1942-08-01,1942-08-27,Pierre S Dupont,Pierre S. Dupont,Oregon Shipbuilding Corp,Cargo
1942-09-02,29.0,Scrapped 1967,328,1942-08-04,1942-08-28,John Fitch,John Fitch,Permanente Metals Co Yard,Cargo
1942-09-03,62.0,Scrapped 1961,632,1942-07-03,1942-08-15,Peter Cartwright,Peter Cartwright,California Shipbuilding Corp,Cargo
1942-09-05,61.0,Scrapped 1972,63,1942-07-06,1942-08-21,John Sergeant,John Sergeant,Bethlehem-Fairfield Shipyards,Cargo
1942-09-05,117.0,Scrapped 1970,128,1942-05-11,1942-08-08,Jonathan Grout,Jonathan Grout,Delta Shipbuilding Co,Cargo
1942-09-05,93.0,"War Shipping Administration troop ship, capacity 1,014. Southwest Pacific Area Army X-124 7/44—1/45. Scrapped Union Minerals & Alloys, 1970",485,1942-06-04,1942-07-29,Lew Wallace,Lew Wallace,Permanente Metals Co Yard,Cargo
1942-09-05,57.0,"To U.S. Navy as Murzim (AK-95), scrapped 1973",633,1942-07-10,1942-08-17,Brigham Young,Brigham Young,California Shipbuilding Corp,Cargo
1942-09-07,77.0,Scrapped 1960,223,1942-06-22,1942-08-23,Thomas Pinckney,Thomas Pinckney,North Carolina Shipbuilding Co,Cargo
1942-09-07,50.0,"Sold private 1947, scrapped 1969",563,1942-07-19,1942-08-23,Gideon Welles,Gideon Welles,Oregon Shipbuilding Corp,Cargo
1942-09-08,58.0,"Sold private 1947, scrapped 1970",634,1942-07-12,1942-08-19,Horace Mann,Horace Mann,California Shipbuilding Corp,Cargo
1942-09-08,65.0,"Torpedoed in the Pacific 1943, repaired, to U.S. Navy as Venus (AK-135), scrapped 1961",263,1942-07-05,1942-08-21,William Williams,William Williams,Permanente Metals Co Yard,Cargo
1942-09-09,99.0,Scrapped 1961,268,1942-06-02,1942-08-19,Theodore Sedgwick,Theodore Sedgwick,Todd Houston Shipbuilding Corp,Cargo
1942-09-09,65.0,"Sold private 1947, scrapped 1968",307,1942-07-06,1942-08-27,Tristram Dalton,Tristram Dalton,Bethlehem-Fairfield Shipyards,Cargo
1942-09-09,50.0,Scrapped 1971,564,1942-07-21,1942-08-26,Edwin M Stanton,Edwin M. Stanton,Oregon Shipbuilding Corp,Cargo
1942-09-10,57.0,"Sold private 1947, converted to a floating wharf",635,1942-07-15,1942-08-22,Jane Addams,Jane Addams,California Shipbuilding Corp,Cargo
1942-09-10,58.0,"Sold private 1947, scrapped 1969",309,1942-07-14,1942-08-28,William Few,William Few,Bethlehem-Fairfield Shipyards,Cargo
1942-09-12,75.0,"Sold private 1947, sunk 1965",224,1942-06-29,1942-08-30,Roger Williams,Roger Williams,North Carolina Shipbuilding Co,Cargo
1942-09-12,55.0,Scrapped 1970,636,1942-07-19,1942-08-25,Clara Barton,Clara Barton,California Shipbuilding Corp,Cargo
1942-09-12,96.0,Scrapped 1962,486,1942-06-08,1942-08-08,O Henry,O. Henry,Permanente Metals Co Yard,Cargo
1942-09-12,50.0,Scrapped 1972,565,1942-07-24,1942-08-31,Cleveland Abbe,Cleveland Abbe,Oregon Shipbuilding Corp,Cargo
1942-09-12,64.0,"To U.S. Navy 1956 as YAG , scrapped 1974",264,1942-07-10,1942-08-26,Eli Whitney,Eli Whitney,Permanente Metals Co Yard,Cargo
1942-09-12,104.0,"Sold private 1949, scrapped 1968",10,1942-05-31,1942-08-12,Joel Chandler Harris,Joel Chandler Harris,Alabama Dry Dock Co,Cargo
1942-09-12,118.0,"Reefed off Mobile Bay, Alabama, 1974",129,1942-05-17,1942-08-09,Daniel Huger,Daniel Huger,Delta Shipbuilding Co,Cargo
1942-09-14,60.0,"Sold private 1947, scrapped 1968",310,1942-07-16,1942-08-31,William Grayson,William Grayson,Bethlehem-Fairfield Shipyards,Cargo
1942-09-14,65.0,Scrapped 1960,308,1942-07-11,1942-08-31,Jonathan Elmer,Jonathan Elmer,Bethlehem-Fairfield Shipyards,Cargo
1942-09-15,56.0,Scrapped 1969,637,1942-07-21,1942-08-27,William Ellery Channing,William Ellery Channing,California Shipbuilding Corp,Cargo
1942-09-15,50.0,"Sold private 1947, scrapped 1963",566,1942-07-27,1942-09-03,Andrew Carnegie,Andrew Carnegie,Oregon Shipbuilding Corp,Cargo
1942-09-15,98.0,Scrapped 1972,106,1942-06-09,1942-08-22,Daniel Hiester,Daniel Hiester,Todd Houston Shipbuilding Corp,Cargo
1942-09-16,63.0,Scrapped 1965,324,1942-07-15,1942-09-04,Ambrose E Burnside,Ambrose E. Burnside,Permanente Metals Co Yard,Cargo
1942-09-16,55.0,Scrapped 1967,311,1942-07-23,1942-09-07,John Mitchell,John Mitchell,Bethlehem-Fairfield Shipyards,Cargo
1942-09-17,75.0,Torpedoed and lost off Durban 1943,225,1942-07-04,1942-09-05,John Drayton,John Drayton,North Carolina Shipbuilding Co,Cargo
1942-09-17,55.0,Scrapped 1959,638,1942-07-24,1942-08-31,Wendell Phillips,Wendell Phillips,California Shipbuilding Corp,Cargo
1942-09-18,44.0,Scrapped 1962,568,1942-08-05,1942-09-07,James Duncan,James Duncan,Oregon Shipbuilding Corp,Cargo
1942-09-19,97.0,Scrapped 1970,487,1942-06-14,1942-08-14,F Marion Crawford,F. Marion Crawford,Permanente Metals Co Yard,Cargo
1942-09-19,111.0,Scrapped 1964,130,1942-05-31,1942-08-20,George Leonard,George Leonard,Delta Shipbuilding Co,Cargo
1942-09-19,53.0,Active: preserved as a memorial in Baltimore MD,312,1942-07-28,1942-09-07,John W Brown,John W. Brown,Bethlehem-Fairfield Shipyards,Cargo
1942-09-19,55.0,Scrapped 1966,639,1942-07-26,1942-09-04,Felipe De Neve,Felipe de Neve,California Shipbuilding Corp,Cargo
1942-09-21,198.0,Scrapped 1969,333,1942-03-07,1942-09-07,James G Blaine,James G. Blaine,New England Shipbuilding Corp,Cargo
1942-09-21,97.0,Wrecked and lost near Cape Town 1942,269,1942-06-16,1942-08-31,Thomas T Tucker,Thomas T. Tucker,Todd Houston Shipbuilding Corp,Cargo
1942-09-21,45.0,"Sold private 1947, wrecked and abandoned 1967",569,1942-08-07,1942-09-09,George H Thomas,George H. Thomas,Oregon Shipbuilding Corp,Cargo
1942-09-21,61.0,Scrapped 1968,325,1942-07-22,1942-09-07,Peter J McGuire,Peter J. McGuire,Permanente Metals Co Yard,Cargo
1942-09-22,55.0,Torpedoed and lost off New Caledonia 1943,640,1942-07-29,1942-09-07,Samuel Gompers,Samuel Gompers,California Shipbuilding Corp,Cargo
1942-09-22,54.0,Scrapped 1973,913,1942-07-30,1942-09-07,Benjamin Hawkins,Benjamin Hawkins,Bethlehem-Fairfield Shipyards,Cargo
1942-09-23,43.0,Mined and scuttled off Naples 1944,570,1942-08-11,1942-09-11,William S Rosecrans,William S. Rosecrans,Oregon Shipbuilding Corp,Cargo
1942-09-23,77.0,Torpedoed and lost off Durban 1943,163,1942-07-08,1942-09-11,Richard D Spaight,Richard D. Spaight,North Carolina Shipbuilding Co,Cargo
1942-09-24,55.0,Scuttled with obsolete ammo 1966,641,1942-07-31,1942-09-09,Horace Greeley,Horace Greeley,California Shipbuilding Corp,Cargo
1942-09-24,93.0,Torpedoed and lost off South Africa 1942,270,1942-06-23,1942-09-07,Jeremiah Wadsworth,Jeremiah Wadsworth,Todd Houston Shipbuilding Corp,Cargo
1942-09-24,53.0,Scrapped 1965,914,1942-08-02,1942-09-13,Ralph Izard,Ralph Izard,Bethlehem-Fairfield Shipyards,Cargo
1942-09-25,97.0,Scrapped 1972,488,1942-06-20,1942-08-21,Joseph Rodman Drake,Joseph Rodman Drake,Permanente Metals Co Yard,Cargo
1942-09-25,42.0,"Sold private 1951, wrecked and scrapped 1964",571,1942-08-14,1942-09-14,Henry Villard,Henry Villard,Oregon Shipbuilding Corp,Cargo
1942-09-26,53.0,Scrapped 1969,642,1942-08-04,1942-09-11,Henry Ward Beecher,Henry Ward Beecher,California Shipbuilding Corp,Cargo
1942-09-26,13.0,Scrapped 1963,581,1942-09-13,1942-09-23,Joseph N Teal,Joseph Nathan Teal,Oregon Shipbuilding Corp,Cargo
1942-09-26,49.0,Reefed off Horn Island MS 1976,915,1942-08-08,1942-09-19,James Caldwell,James Caldwell,Bethlehem-Fairfield Shipyards,Cargo
1942-09-26,135.0,Scrapped 1970,314,1942-05-14,1942-08-30,William Blount,William Blount,Delta Shipbuilding Co,Cargo
1942-09-28,59.0,"Sold private 1951, scrapped 1971",327,1942-07-31,1942-09-15,David Bushnell,David Bushnell,Permanente Metals Co Yard,Cargo
1942-09-29,93.0,Scrapped 1960,489,1942-06-28,1942-08-29,William Dean Howells,William Dean Howells,Permanente Metals Co Yard,Cargo
1942-09-29,67.0,Scrapped 1969,326,1942-07-24,1942-09-09,Philip H Sheridan,Philip H. Sheridan,Permanente Metals Co Yard,Cargo
1942-09-29,79.0,Scrapped 1970,164,1942-07-12,1942-09-17,Samuel Ashe,Samuel Ashe,North Carolina Shipbuilding Co,Cargo
1942-09-30,50.0,Scrapped 1963,917,1942-08-11,1942-09-22,Nicholas Biddle,Nicholas Biddle,Bethlehem-Fairfield Shipyards,Cargo
1942-09-30,52.0,Scrapped 1961,643,1942-08-09,1942-09-14,James Gordon Bennett,James Gordon Bennett,California Shipbuilding Corp,Cargo
1942-09-30,144.0,Scrapped 1962,313,1942-05-09,1942-09-07,Charles Brantley Aycock,Charles Brantley Aycock,Delta Shipbuilding Co,Cargo
1942-09-30,53.0,Wrecked and scrapped 1946,329,1942-08-08,1942-09-19,James Rumsey,James Rumsey,Permanente Metals Co Yard,Cargo
1942-09-30,91.0,"Wrecked 1942, repaired, CTL 1946, salvaged, converted 1951, scrapped 1963",11,1942-07-01,1942-09-03,Nathaniel Bacon,Nathaniel Bacon,Alabama Dry Dock Co,Cargo
1942-09-30,44.0,Scrapped 1961,572,1942-08-17,1942-09-17,Samuel Seabury,Samuel Seabury,Oregon Shipbuilding Corp,Cargo
1942-09-30,52.0,Scrapped 1959,916,1942-08-09,1942-09-21,Caesar Rodney,Caesar Rodney,Bethlehem-Fairfield Shipyards,Cargo
1942-09-30,88.0,Scrapped 1971,107,1942-07-04,1942-09-11,Benjamin Huntington,Benjamin Huntington,Todd Houston Shipbuilding Corp,Cargo
1942-09-30,77.0,Scrapped 1963,490,1942-07-15,1942-08-31,John Howard Payne,John Howard Payne,Permanente Metals Co Yard,Cargo
1942-10-03,44.0,"Torpedoed off Dutch Guiana 1943, repaired, scrapped 1961",573,1942-08-20,1942-09-20,Mark Hanna,Mark Hanna,Oregon Shipbuilding Corp,Cargo
1942-10-04,77.0,Scrapped 1966,165,1942-07-19,1942-09-23,Benjamin Williams,Benjamin Williams,North Carolina Shipbuilding Co,Cargo
