Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
Juan Cabrillo,Cargo,291,California Shipbuilding Corp,1942-05-09,1942-06-27,1942-07-19,71.0,Juan Cabrillo,Scrapped 1961
Jesse Applegate,Cargo,549,Oregon Shipbuilding Corp,1942-05-22,1942-07-07,1942-07-20,59.0,Jesse Applegate,Scrapped 1971
William Hawkins,Cargo,222,North Carolina Shipbuilding Co,1942-04-27,1942-07-03,1942-07-20,84.0,William Hawkins,Scrapped 1958
Francis Parkman,Cargo,89,California Shipbuilding Corp,1942-05-13,1942-06-29,1942-07-21,69.0,Francis Parkman,Scrapped 1961
Abraham Baldwin,Cargo,123,Delta Shipbuilding Co,1941-12-22,1942-05-16,1942-07-21,211.0,Abraham Baldwin,"Reefed off Horn Island, Mississippi, 1976"
Luther Martin,Cargo,49,Bethlehem-Fairfield Shipyards,1942-05-08,1942-07-04,1942-07-21,74.0,Luther Martin,Scrapped 1971
William B Travis,Cargo,266,Todd Houston Shipbuilding Corp,1941-12-30,1942-06-12,1942-07-22,204.0,William B. Travis,"Mined off Bizerta 1943, repaired, scrapped 1964"
George Vancouver,Cargo,353,Kaiser Co,1942-04-15,1942-07-04,1942-07-22,98.0,George Vancouver,Reefed off Freeport TX 1976
James Smith,Cargo,253,Permanente Metals Co Yard,1942-04-15,1942-07-04,1942-07-22,98.0,James Smith,"Torpedoed in the South Atlantic 1943, repaired, scrapped 1963"
Junipero Serra,Cargo,292,California Shipbuilding Corp,1942-05-20,1942-06-30,1942-07-23,64.0,Junípero Serra,Scrapped 1959
Alexander H Stephens,Cargo,5,Alabama Dry Dock Co,1942-01-31,1942-05-22,1942-07-23,173.0,Alexander H. Stephens,Scrapped 1973
Hugh Williamson,Cargo,157,North Carolina Shipbuilding Co,1942-05-11,1942-07-07,1942-07-24,74.0,Hugh Williamson,"Wrecked 1946, refloated, scrapped 1948"
William Wirt,Cargo,50,Bethlehem-Fairfield Shipyards,1942-05-13,1942-07-04,1942-07-24,72.0,William Wirt,"Bombed off Algeria 1943, repaired, scrapped 1966"
John Fiske,Cargo,90,California Shipbuilding Corp,1942-05-16,1942-07-03,1942-07-25,70.0,John F. Fiske,Scrapped 1971
Reverdy Johnson,Cargo,51,Bethlehem-Fairfield Shipyards,1942-05-15,1942-07-10,1942-07-25,71.0,Reverdy Johnson,Scrapped 1967
George Abernethy,Cargo,550,Oregon Shipbuilding Corp,1942-05-29,1942-07-11,1942-07-25,57.0,George Abernethy,Scrapped 1960
John A Sutter,Cargo,293,California Shipbuilding Corp,1942-05-23,1942-07-10,1942-07-27,65.0,John A. Sutter,Scrapped 1969
Joseph Lane,Cargo,551,Oregon Shipbuilding Corp,1942-05-31,1942-07-14,1942-07-27,57.0,Joseph Lane,Scrapped 1966
John Winthrop,Cargo,202,New England Shipbuilding Corp,1941-09-24,1942-06-07,1942-07-28,307.0,John Winthrop,Torpedoed and lost in the North Atlantic 1942
John H B Latrobe,Cargo,52,Bethlehem-Fairfield Shipyards,1942-05-19,1942-07-13,1942-07-28,70.0,John H. B. Latrobe,Scrapped 1969
Mirabeau B Lamar,Cargo,267,Todd Houston Shipbuilding Corp,1941-12-30,1942-06-19,1942-07-28,210.0,Mirabeau B. Lamar,Scrapped 1963
George Taylor,Cargo,254,Permanente Metals Co Yard,1942-04-27,1942-07-09,1942-07-28,92.0,George Taylor,Scrapped 1961
William R Davie,Cargo,158,North Carolina Shipbuilding Co,1942-05-18,1942-07-12,1942-07-29,72.0,William R. Davie,Scrapped 1972
Theodoric Bland,Cargo,124,Delta Shipbuilding Co,1942-01-19,1942-05-30,1942-07-29,191.0,Theodorick Bland,Scrapped 1963
Richard H Alvey,Cargo,53,Bethlehem-Fairfield Shipyards,1942-05-24,1942-07-15,1942-07-29,66.0,Richard H. Alvey,Scrapped 1961
Harvey W Scott,Cargo,552,Oregon Shipbuilding Corp,1942-06-04,1942-07-19,1942-07-30,56.0,Harvey W. Scott,Torpedoed and lost in the Indian Ocean 1943
John Walker,Cargo,305,Bethlehem-Fairfield Shipyards,1942-06-01,1942-07-22,1942-07-30,59.0,John Walker,Scrapped 1961
Richard Henry Dana,Cargo,294,California Shipbuilding Corp,1942-05-27,1942-07-12,1942-07-31,65.0,"Richard Henry Dana, Jr.","Sold private 1947, converted to a floating wharf"
John P Poe,Cargo,54,Bethlehem-Fairfield Shipyards,1942-05-24,1942-07-25,1942-07-31,68.0,John P. Poe,Scrapped 1972
Thomas Heyward,Cargo,6,Alabama Dry Dock Co,1942-02-21,1942-05-31,1942-07-31,160.0,Thomas Heyward,"Scuttled as a reef off Destin FL, 1977"
James W Nesmith,Cargo,553,Oregon Shipbuilding Corp,1942-06-08,1942-07-21,1942-07-31,53.0,James W. Nesmith,"Torpedoed in the Irish Sea 1945, scuttled with obsolete ammo 1946"
John Morton,Cargo,258,Permanente Metals Co Yard,1942-05-22,1942-07-21,1942-08-03,73.0,John Morton,Scrapped 1972
George Bancroft,Cargo,91,California Shipbuilding Corp,1942-06-03,1942-07-15,1942-08-04,62.0,George Bancroft,Scrapped 1960
Benjamin Bourne,Cargo,101,Todd Houston Shipbuilding Corp,1942-04-03,1942-07-03,1942-08-04,123.0,Benjamin Bourne,Scrapped 1969
John C Ainsworth,Cargo,554,Oregon Shipbuilding Corp,1942-06-16,1942-07-24,1942-08-05,50.0,John C. Ainsworth,Scrapped 1961
William Gaston,Cargo,159,North Carolina Shipbuilding Co,1942-05-23,1942-07-19,1942-08-05,74.0,William Gaston,Torpedoed and lost in the South Atlantic 1944
James Ford Rhodes,Cargo,92,California Shipbuilding Corp,1942-06-07,1942-07-19,1942-08-06,60.0,James Ford Rhodes,Scrapped 1964
Benjamin Contee,Cargo,125,Delta Shipbuilding Co,1942-02-02,1942-06-15,1942-08-07,186.0,Benjamin Contee,"Torpedoed 1943, sunk as a breakwater off Normandy 1944, abandoned"
William Whipple,Cargo,255,Permanente Metals Co Yard,1942-05-09,1942-07-14,1942-08-07,90.0,William Whipple,Scrapped 1958
Bernard Carter,Cargo,55,Bethlehem-Fairfield Shipyards,1942-06-06,1942-07-29,1942-08-08,63.0,Bernard Carter,Scrapped 1960
Elias Howe,Cargo,354,Kaiser Co,1942-04-22,1942-07-19,1942-08-08,108.0,Elias Howe,"Torpedoed and lost in the Gulf of Aden, 1943"
John Carter Rose,Cargo,56,Bethlehem-Fairfield Shipyards,1942-06-10,1942-07-31,1942-08-10,61.0,John Carter Rose,Torpedoed and lost off Trinidad 1942
William H Prescott,Cargo,93,California Shipbuilding Corp,1942-06-09,1942-07-21,1942-08-10,62.0,William H. Prescott,Scrapped 1972
Daniel Carroll,Cargo,102,Todd Houston Shipbuilding Corp,1942-04-24,1942-07-11,1942-08-11,109.0,Daniel Carroll,Scrapped 1960
Thomas Hooker,Cargo,203,New England Shipbuilding Corp,1941-10-14,1942-07-13,1942-08-11,301.0,Thomas Hooker,Sunk in the North Atlantic 1943
William P McArthur,Cargo,555,Oregon Shipbuilding Corp,1942-06-20,1942-07-27,1942-08-11,52.0,William P. McArthur,Sold private 1966 and converted to crane barge
Hinton R Helper,Cargo,94,California Shipbuilding Corp,1942-06-12,1942-07-24,1942-08-13,62.0,Hinton R. Helper,Scrapped 1961
Charles Carroll,Cargo,15,Bethlehem-Fairfield Shipyards,,1942-03-24,1942-08-13,,Charles Carroll,Scrapped 1971
Francis Lewis,Cargo,257,Permanente Metals Co Yard,1942-05-22,1942-07-24,1942-08-13,83.0,Francis Lewis,Scrapped 1970
Eugene Skinner,Cargo,556,Oregon Shipbuilding Corp,1942-06-23,1942-07-31,1942-08-13,51.0,Eugene Skinner,Scrapped 1971
William F Cody,Cargo,295,California Shipbuilding Corp,1942-06-14,1942-07-26,1942-08-15,62.0,William F. Cody,Scrapped 1967
Judah P Benjamin,Cargo,7,Alabama Dry Dock Co,1942-04-25,1942-07-01,1942-08-15,112.0,Judah P. Benjamin,Scrapped 1961
William A Graham,Cargo,160,North Carolina Shipbuilding Co,1942-06-01,1942-07-26,1942-08-15,75.0,William A. Graham,Scrapped 1972
Daniel H Lownsdale,Cargo,557,Oregon Shipbuilding Corp,1942-06-27,1942-08-05,1942-08-17,51.0,Daniel H. Lownsdale,Scrapped 1970
Andrew Hamilton,Cargo,57,Bethlehem-Fairfield Shipyards,1942-06-15,1942-08-06,1942-08-17,63.0,Andrew Hamilton,Scrapped 1962
Robert F Stockton,Cargo,296,California Shipbuilding Corp,1942-06-19,1942-07-29,1942-08-18,60.0,Robert F. Stockton,"To Alabama State Docks, scrapped"
William Tilghman,Cargo,59,Bethlehem-Fairfield Shipyards,1942-06-20,1942-08-07,1942-08-18,59.0,William Tilghman,Scrapped 1970
George Read,Cargo,259,Permanente Metals Co Yard,1942-06-07,1942-07-30,1942-08-19,73.0,George Read,Scrapped 1971
George Gale,Cargo,126,Delta Shipbuilding Co,1942-04-01,1942-07-15,1942-08-19,140.0,George Gale,Scrapped 1970
Nicholas Gilman,Cargo,103,Todd Houston Shipbuilding Corp,1942-05-04,1942-07-25,1942-08-19,107.0,Nicholas Gilman,Scrapped 1963
Elijah White,Cargo,558,Oregon Shipbuilding Corp,1942-06-30,1942-08-07,1942-08-20,51.0,Elijah White,Scrapped 1961
Starr King,Cargo,297,California Shipbuilding Corp,1942-06-21,1942-07-31,1942-08-20,60.0,Starr King,Torpedoed and lost off Sydney 1943
Edward Rowland Sill,Cargo,483,Permanente Metals Co Yard,1942-05-15,1942-07-14,1942-08-20,97.0,Edward Rowland Sill,Scrapped 1967
James K Polk,Cargo,161,North Carolina Shipbuilding Co,1942-06-08,1942-08-02,1942-08-21,74.0,James K. Polk,"Torpedoed off Dutch Guiana 1943, declared total loss, scrapped"
Benjamin Chew,Cargo,58,Bethlehem-Fairfield Shipyards,1942-06-15,1942-08-10,1942-08-21,67.0,Benjamin Chew,Scrapped 1973
Harry Lane,Cargo,559,Oregon Shipbuilding Corp,1942-07-04,1942-08-11,1942-08-23,50.0,Harry Lane,Scrapped 1962
Roger Sherman,Cargo,260,Permanente Metals Co Yard,1942-06-15,1942-08-03,1942-08-24,70.0,Roger Sherman,Scrapped 1961
Jefferson Davis,Cargo,8,Alabama Dry Dock Co,1942-05-05,1942-07-12,1942-08-25,112.0,Jefferson Davis,Scrapped 1961
Leland Stanford,Cargo,298,California Shipbuilding Corp,1942-06-23,1942-08-04,1942-08-25,63.0,Leland Stanford,Scrapped 1967
Jared Ingersoll,Cargo,60,Bethlehem-Fairfield Shipyards,1942-06-24,1942-08-15,1942-08-25,62.0,Jared Ingersoll,"Torpedoed from the air and beached near Algiers 1944, repaired, scrapped 1964"
George Chamberlain,Cargo,560,Oregon Shipbuilding Corp,1942-07-07,1942-08-14,1942-08-26,50.0,George Earle Chamberlain,"To U.S. Navy 1955 as YAG, scrapped 1971"
Samuel Griffin,Cargo,104,Todd Houston Shipbuilding Corp,1942-05-18,1942-08-02,1942-08-26,100.0,Samuel Griffin,Scrapped 1961
Oliver Wolcott,Cargo,256,Permanente Metals Co Yard,1942-05-22,1942-08-07,1942-08-26,96.0,Oliver Wolcott,Scrapped 1961
Francis Drake,Cargo,299,California Shipbuilding Corp,1942-06-27,1942-08-08,1942-08-27,61.0,Francis Drake,Scrapped 1971
Pierce Butler,Cargo,306,Bethlehem-Fairfield Shipyards,1942-06-27,1942-08-18,1942-08-27,61.0,Pierce Butler,Torpedoed and lost in the Indian Ocean 1942
Alexander Martin,Cargo,162,North Carolina Shipbuilding Co,1942-06-15,1942-08-16,1942-08-28,74.0,Alexander Martin,Scrapped 1963
William B Giles,Cargo,127,Delta Shipbuilding Co,1942-04-25,1942-07-30,1942-08-29,126.0,William B. Giles,"Sold private 1947, scrapped 1968"
Matthew Thornton,Cargo,262,Permanente Metals Co Yard,1942-06-30,1942-08-12,1942-08-29,60.0,Matthew Thornton,Scrapped 1971
William Rawle,Cargo,61,Bethlehem-Fairfield Shipyards,1942-06-28,1942-08-19,1942-08-29,62.0,William Brooke Rawle,"Mined off Flushing 1945, salvaged, scrapped 1948"
Peter H Burnett,Cargo,300,California Shipbuilding Corp,1942-06-29,1942-08-10,1942-08-29,61.0,Peter H. Burnett,"Torpedoed near the Cook Islands 1943, repaired, to U.S. Navy as USS Peter H. Burnett (IX-104), scrapped 1959"
Jonathan Harrington,Cargo,561,Oregon Shipbuilding Corp,1942-07-11,1942-08-17,1942-08-29,49.0,Jonathan Harrington,Scrapped 1969
Joaquin Miller,Cargo,484,Permanente Metals Co Yard,1942-05-23,1942-07-22,1942-08-29,98.0,Joaquin Miller,Scrapped 1970
Ewing Young,Cargo,631,California Shipbuilding Corp,1942-06-30,1942-08-13,1942-08-30,61.0,Ewing Young,Scrapped 1959
Ethan Allen,Cargo,204,New England Shipbuilding Corp,1942-01-07,1942-08-16,1942-08-31,236.0,Ethan Allen,Scrapped 1960
William H Seward,Cargo,562,Oregon Shipbuilding Corp,1942-07-14,1942-08-20,1942-08-31,48.0,William H. Seward,Scrapped 1960
Thomas Lynch,Cargo,9,Alabama Dry Dock Co,1942-05-22,1942-08-02,1942-08-31,101.0,Thomas Lynch,Scrapped 1965
Horace Binney,Cargo,62,Bethlehem-Fairfield Shipyards,1942-07-05,1942-08-25,1942-08-31,57.0,Horace Binney,"Sold private 1947, wrecked and scrapped 1958"
Richard Stockton,Cargo,261,Permanente Metals Co Yard,1942-06-21,1942-08-17,1942-08-31,71.0,Richard Stockton,"To Belgium as Belgian Loyalty 1945, scrapped 1972"
Thomas Hartley,Cargo,105,Todd Houston Shipbuilding Corp,1942-05-26,1942-08-12,1942-08-31,97.0,Thomas Hartley,Converted to derrick barge 1966
Pierre S Dupont,Cargo,567,Oregon Shipbuilding Corp,1942-08-01,1942-08-27,1942-09-01,31.0,Pierre S. Dupont,Scrapped 1971
John Fitch,Cargo,328,Permanente Metals Co Yard,1942-08-04,1942-08-28,1942-09-02,29.0,John Fitch,Scrapped 1967
Peter Cartwright,Cargo,632,California Shipbuilding Corp,1942-07-03,1942-08-15,1942-09-03,62.0,Peter Cartwright,Scrapped 1961
John Sergeant,Cargo,63,Bethlehem-Fairfield Shipyards,1942-07-06,1942-08-21,1942-09-05,61.0,John Sergeant,Scrapped 1972
Jonathan Grout,Cargo,128,Delta Shipbuilding Co,1942-05-11,1942-08-08,1942-09-05,117.0,Jonathan Grout,Scrapped 1970
Lew Wallace,Cargo,485,Permanente Metals Co Yard,1942-06-04,1942-07-29,1942-09-05,93.0,Lew Wallace,"War Shipping Administration troop ship, capacity 1,014. Southwest Pacific Area Army X-124 7/44—1/45. Scrapped Union Minerals & Alloys, 1970"
Brigham Young,Cargo,633,California Shipbuilding Corp,1942-07-10,1942-08-17,1942-09-05,57.0,Brigham Young,"To U.S. Navy as Murzim (AK-95), scrapped 1973"
Thomas Pinckney,Cargo,223,North Carolina Shipbuilding Co,1942-06-22,1942-08-23,1942-09-07,77.0,Thomas Pinckney,Scrapped 1960
Gideon Welles,Cargo,563,Oregon Shipbuilding Corp,1942-07-19,1942-08-23,1942-09-07,50.0,Gideon Welles,"Sold private 1947, scrapped 1969"
Horace Mann,Cargo,634,California Shipbuilding Corp,1942-07-12,1942-08-19,1942-09-08,58.0,Horace Mann,"Sold private 1947, scrapped 1970"
William Williams,Cargo,263,Permanente Metals Co Yard,1942-07-05,1942-08-21,1942-09-08,65.0,William Williams,"Torpedoed in the Pacific 1943, repaired, to U.S. Navy as Venus (AK-135), scrapped 1961"
Theodore Sedgwick,Cargo,268,Todd Houston Shipbuilding Corp,1942-06-02,1942-08-19,1942-09-09,99.0,Theodore Sedgwick,Scrapped 1961
Tristram Dalton,Cargo,307,Bethlehem-Fairfield Shipyards,1942-07-06,1942-08-27,1942-09-09,65.0,Tristram Dalton,"Sold private 1947, scrapped 1968"
Edwin M Stanton,Cargo,564,Oregon Shipbuilding Corp,1942-07-21,1942-08-26,1942-09-09,50.0,Edwin M. Stanton,Scrapped 1971
William Few,Cargo,309,Bethlehem-Fairfield Shipyards,1942-07-14,1942-08-28,1942-09-10,58.0,William Few,"Sold private 1947, scrapped 1969"
Jane Addams,Cargo,635,California Shipbuilding Corp,1942-07-15,1942-08-22,1942-09-10,57.0,Jane Addams,"Sold private 1947, converted to a floating wharf"
Roger Williams,Cargo,224,North Carolina Shipbuilding Co,1942-06-29,1942-08-30,1942-09-12,75.0,Roger Williams,"Sold private 1947, sunk 1965"
Clara Barton,Cargo,636,California Shipbuilding Corp,1942-07-19,1942-08-25,1942-09-12,55.0,Clara Barton,Scrapped 1970
O Henry,Cargo,486,Permanente Metals Co Yard,1942-06-08,1942-08-08,1942-09-12,96.0,O. Henry,Scrapped 1962
Cleveland Abbe,Cargo,565,Oregon Shipbuilding Corp,1942-07-24,1942-08-31,1942-09-12,50.0,Cleveland Abbe,Scrapped 1972
Eli Whitney,Cargo,264,Permanente Metals Co Yard,1942-07-10,1942-08-26,1942-09-12,64.0,Eli Whitney,"To U.S. Navy 1956 as YAG , scrapped 1974"
Joel Chandler Harris,Cargo,10,Alabama Dry Dock Co,1942-05-31,1942-08-12,1942-09-12,104.0,Joel Chandler Harris,"Sold private 1949, scrapped 1968"
Daniel Huger,Cargo,129,Delta Shipbuilding Co,1942-05-17,1942-08-09,1942-09-12,118.0,Daniel Huger,"Reefed off Mobile Bay, Alabama, 1974"
William Grayson,Cargo,310,Bethlehem-Fairfield Shipyards,1942-07-16,1942-08-31,1942-09-14,60.0,William Grayson,"Sold private 1947, scrapped 1968"
Jonathan Elmer,Cargo,308,Bethlehem-Fairfield Shipyards,1942-07-11,1942-08-31,1942-09-14,65.0,Jonathan Elmer,Scrapped 1960
Daniel Hiester,Cargo,106,Todd Houston Shipbuilding Corp,1942-06-09,1942-08-22,1942-09-15,98.0,Daniel Hiester,Scrapped 1972
Andrew Carnegie,Cargo,566,Oregon Shipbuilding Corp,1942-07-27,1942-09-03,1942-09-15,50.0,Andrew Carnegie,"Sold private 1947, scrapped 1963"
William Ellery Channing,Cargo,637,California Shipbuilding Corp,1942-07-21,1942-08-27,1942-09-15,56.0,William Ellery Channing,Scrapped 1969
Ambrose E Burnside,Cargo,324,Permanente Metals Co Yard,1942-07-15,1942-09-04,1942-09-16,63.0,Ambrose E. Burnside,Scrapped 1965
John Mitchell,Cargo,311,Bethlehem-Fairfield Shipyards,1942-07-23,1942-09-07,1942-09-16,55.0,John Mitchell,Scrapped 1967
John Drayton,Cargo,225,North Carolina Shipbuilding Co,1942-07-04,1942-09-05,1942-09-17,75.0,John Drayton,Torpedoed and lost off Durban 1943
Wendell Phillips,Cargo,638,California Shipbuilding Corp,1942-07-24,1942-08-31,1942-09-17,55.0,Wendell Phillips,Scrapped 1959
James Duncan,Cargo,568,Oregon Shipbuilding Corp,1942-08-05,1942-09-07,1942-09-18,44.0,James Duncan,Scrapped 1962
F Marion Crawford,Cargo,487,Permanente Metals Co Yard,1942-06-14,1942-08-14,1942-09-19,97.0,F. Marion Crawford,Scrapped 1970
George Leonard,Cargo,130,Delta Shipbuilding Co,1942-05-31,1942-08-20,1942-09-19,111.0,George Leonard,Scrapped 1964
John W Brown,Cargo,312,Bethlehem-Fairfield Shipyards,1942-07-28,1942-09-07,1942-09-19,53.0,John W. Brown,Active: preserved as a memorial in Baltimore MD
Felipe De Neve,Cargo,639,California Shipbuilding Corp,1942-07-26,1942-09-04,1942-09-19,55.0,Felipe de Neve,Scrapped 1966
George H Thomas,Cargo,569,Oregon Shipbuilding Corp,1942-08-07,1942-09-09,1942-09-21,45.0,George H. Thomas,"Sold private 1947, wrecked and abandoned 1967"
Peter J McGuire,Cargo,325,Permanente Metals Co Yard,1942-07-22,1942-09-07,1942-09-21,61.0,Peter J. McGuire,Scrapped 1968
James G Blaine,Cargo,333,New England Shipbuilding Corp,1942-03-07,1942-09-07,1942-09-21,198.0,James G. Blaine,Scrapped 1969
Thomas T Tucker,Cargo,269,Todd Houston Shipbuilding Corp,1942-06-16,1942-08-31,1942-09-21,97.0,Thomas T. Tucker,Wrecked and lost near Cape Town 1942
Samuel Gompers,Cargo,640,California Shipbuilding Corp,1942-07-29,1942-09-07,1942-09-22,55.0,Samuel Gompers,Torpedoed and lost off New Caledonia 1943
Benjamin Hawkins,Cargo,913,Bethlehem-Fairfield Shipyards,1942-07-30,1942-09-07,1942-09-22,54.0,Benjamin Hawkins,Scrapped 1973
William S Rosecrans,Cargo,570,Oregon Shipbuilding Corp,1942-08-11,1942-09-11,1942-09-23,43.0,William S. Rosecrans,Mined and scuttled off Naples 1944
Richard D Spaight,Cargo,163,North Carolina Shipbuilding Co,1942-07-08,1942-09-11,1942-09-23,77.0,Richard D. Spaight,Torpedoed and lost off Durban 1943
Horace Greeley,Cargo,641,California Shipbuilding Corp,1942-07-31,1942-09-09,1942-09-24,55.0,Horace Greeley,Scuttled with obsolete ammo 1966
Jeremiah Wadsworth,Cargo,270,Todd Houston Shipbuilding Corp,1942-06-23,1942-09-07,1942-09-24,93.0,Jeremiah Wadsworth,Torpedoed and lost off South Africa 1942
Ralph Izard,Cargo,914,Bethlehem-Fairfield Shipyards,1942-08-02,1942-09-13,1942-09-24,53.0,Ralph Izard,Scrapped 1965
Joseph Rodman Drake,Cargo,488,Permanente Metals Co Yard,1942-06-20,1942-08-21,1942-09-25,97.0,Joseph Rodman Drake,Scrapped 1972
Henry Villard,Cargo,571,Oregon Shipbuilding Corp,1942-08-14,1942-09-14,1942-09-25,42.0,Henry Villard,"Sold private 1951, wrecked and scrapped 1964"
James Caldwell,Cargo,915,Bethlehem-Fairfield Shipyards,1942-08-08,1942-09-19,1942-09-26,49.0,James Caldwell,Reefed off Horn Island MS 1976
William Blount,Cargo,314,Delta Shipbuilding Co,1942-05-14,1942-08-30,1942-09-26,135.0,William Blount,Scrapped 1970
Joseph N Teal,Cargo,581,Oregon Shipbuilding Corp,1942-09-13,1942-09-23,1942-09-26,13.0,Joseph Nathan Teal,Scrapped 1963
Henry Ward Beecher,Cargo,642,California Shipbuilding Corp,1942-08-04,1942-09-11,1942-09-26,53.0,Henry Ward Beecher,Scrapped 1969
David Bushnell,Cargo,327,Permanente Metals Co Yard,1942-07-31,1942-09-15,1942-09-28,59.0,David Bushnell,"Sold private 1951, scrapped 1971"
William Dean Howells,Cargo,489,Permanente Metals Co Yard,1942-06-28,1942-08-29,1942-09-29,93.0,William Dean Howells,Scrapped 1960
Philip H Sheridan,Cargo,326,Permanente Metals Co Yard,1942-07-24,1942-09-09,1942-09-29,67.0,Philip H. Sheridan,Scrapped 1969
Samuel Ashe,Cargo,164,North Carolina Shipbuilding Co,1942-07-12,1942-09-17,1942-09-29,79.0,Samuel Ashe,Scrapped 1970
Benjamin Huntington,Cargo,107,Todd Houston Shipbuilding Corp,1942-07-04,1942-09-11,1942-09-30,88.0,Benjamin Huntington,Scrapped 1971
Caesar Rodney,Cargo,916,Bethlehem-Fairfield Shipyards,1942-08-09,1942-09-21,1942-09-30,52.0,Caesar Rodney,Scrapped 1959
Samuel Seabury,Cargo,572,Oregon Shipbuilding Corp,1942-08-17,1942-09-17,1942-09-30,44.0,Samuel Seabury,Scrapped 1961
John Howard Payne,Cargo,490,Permanente Metals Co Yard,1942-07-15,1942-08-31,1942-09-30,77.0,John Howard Payne,Scrapped 1963
James Rumsey,Cargo,329,Permanente Metals Co Yard,1942-08-08,1942-09-19,1942-09-30,53.0,James Rumsey,Wrecked and scrapped 1946
Nathaniel Bacon,Cargo,11,Alabama Dry Dock Co,1942-07-01,1942-09-03,1942-09-30,91.0,Nathaniel Bacon,"Wrecked 1942, repaired, CTL 1946, salvaged, converted 1951, scrapped 1963"
Nicholas Biddle,Cargo,917,Bethlehem-Fairfield Shipyards,1942-08-11,1942-09-22,1942-09-30,50.0,Nicholas Biddle,Scrapped 1963
Charles Brantley Aycock,Cargo,313,Delta Shipbuilding Co,1942-05-09,1942-09-07,1942-09-30,144.0,Charles Brantley Aycock,Scrapped 1962
James Gordon Bennett,Cargo,643,California Shipbuilding Corp,1942-08-09,1942-09-14,1942-09-30,52.0,James Gordon Bennett,Scrapped 1961
Mark Hanna,Cargo,573,Oregon Shipbuilding Corp,1942-08-20,1942-09-20,1942-10-03,44.0,Mark Hanna,"Torpedoed off Dutch Guiana 1943, repaired, scrapped 1961"
Benjamin Williams,Cargo,165,North Carolina Shipbuilding Co,1942-07-19,1942-09-23,1942-10-04,77.0,Benjamin Williams,Scrapped 1966
